,Unnamed: 0,Player,College,Conf,G,MP,MP_G,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
98,98,Darryl Morsell,Maryland,Big Ten,65,1803,27.7,3.3,7.4,2.9,6,0.3,1.3,1.7,2.4,1.3,2.4,3.8,1.9,0.6,0.5,1.9,2,8.6
99,99,Aaron Wiggins,Maryland,Big Ten,34,798,23.5,2.9,7.4,1,3,1.8,4.4,0.8,0.9,1,2.3,3.3,0.8,0.8,0.2,0.8,1.7,8.3
0,0,Vitto Brown,Wisconsin,Big Ten,72,1660,23.1,3.1,7.3,1.9,4,1.1,3.2,0.9,1.2,1.5,2.9,4.4,0.9,0.5,0.5,1.3,2.3,8.2
1,1,Jordan Poole,Michigan,Big Ten,75,1700,22.7,3.1,7.3,1.6,3.1,1.5,4.1,1.6,1.9,0.1,2,2.2,1.4,0.8,0.2,1.1,1.5,9.4
2,2,Joe Wieskamp,Iowa,Big Ten,35,971,27.7,3.6,7.3,1.9,3.3,1.7,4,2.3,2.9,1.4,3.5,4.9,1.1,0.9,0.5,1.1,1.9,11.1
3,3,Keyshawn Woods,Ohio State,Big Ten,35,961,27.5,3.1,7.3,2.3,4.8,0.8,2.6,1.1,1.4,0.4,2.7,3.1,2.5,0.7,0.1,1.3,2.3,8.1
4,4,Juwan Morgan,Indiana,Big Ten,128,2952,23.1,4,7.2,3.6,5.7,0.4,1.5,2.2,3.3,2,3.9,5.9,1.2,0.8,1.1,1.3,2.4,10.7
5,5,Moritz Wagner,Michigan,Big Ten,107,2244,21,3.9,7.2,2.9,4.5,1,2.7,1.5,2.2,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4
6,6,Rapheal Davis,Purdue,Big Ten,31,922,29.7,2.7,7.1,1.6,4.1,1.1,3,1.8,2.5,0.7,3.2,3.9,2.3,0.4,0.4,1.4,1.9,8.3
7,7,Isaiah Washington,Minnesota,Big Ten,60,1092,18.2,2.5,7.1,2,4.9,0.5,2.2,1.2,1.6,0.5,1.7,2.1,2.6,0.6,0.1,1.4,1.2,6.6
8,8,Tracy Abrams,Illinois,Big Ten,35,846,24.2,3,7,1.5,3.3,1.5,3.6,1.2,1.7,0.2,2.7,2.9,2.3,1,0.2,1.3,2,8.6
9,9,Mike Gesell,Iowa,Big Ten,33,987,29.9,2.8,7,2.3,5.6,0.5,1.4,2.1,2.8,0.5,2.7,3.2,6.2,1.3,0.2,2,2.1,8.1
10,10,Maverick Morgan,Illinois,Big Ten,69,1611,23.3,3.9,7,3.9,7,0,0,1.4,2,1.4,2.6,4,0.7,0.3,0.6,1.4,2,9.1
11,11,Josh Newkirk,Indiana,Big Ten,65,1676,25.8,2.9,7,1.9,4.1,1,2.9,1.4,1.8,0.5,2.1,2.6,3,0.5,0.2,2,2.4,8.1
12,12,Dererk Pardon,Northwestern,Big Ten,112,3234,28.9,4.2,7,4.2,6.7,0.1,0.3,2.1,3.4,2.9,4.1,7,1.2,0.6,1.3,1.2,2.7,10.6
13,13,Duane Washington Jr.,Ohio State,Big Ten,35,600,17.1,2.6,7,1.4,3.2,1.2,3.8,0.6,1,0.3,2.2,2.5,1.1,0.3,0,1.1,1.3,7
14,14,Ron Harper Jr.,Rutgers,Big Ten,31,690,22.3,2.8,6.9,1.9,3.4,1,3.5,1.2,1.7,0.5,2.6,3.1,1.1,0.6,0.5,0.9,2.4,7.8
15,15,Dakota Mathias,Purdue,Big Ten,107,2937,27.4,3.1,6.8,1.1,2.3,2,4.5,0.9,1.1,0.2,3.2,3.4,3.4,0.8,0.1,1.2,1.8,9.1
16,16,Rob Phinisee,Indiana,Big Ten,32,874,27.3,2.4,6.8,1.6,4,0.8,2.7,1.2,1.7,0.4,2.9,3.3,2.9,1.1,0.1,1.3,2.1,6.9
17,17,Duncan Robinson,Michigan,Big Ten,115,2863,24.9,3.1,6.8,1,1.9,2.1,4.9,1.1,1.2,0.5,2.1,2.5,1.2,0.6,0.3,0.7,2.2,9.3
18,18,Eric Ayala,Maryland,Big Ten,34,986,29,2.8,6.6,1.3,2.8,1.5,3.8,1.4,1.8,0.3,2.6,2.9,2.1,0.3,0.3,1.6,1.4,8.6
19,19,Jaren Jackson Jr.,Michigan State,Big Ten,35,764,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3,3.8,1.5,4.3,5.8,1.1,0.6,3,1.8,3.2,10.9
20,20,Mike Watkins,Penn State,Big Ten,89,2111,23.7,4.1,6.6,4.1,6.6,0,0,1.7,3,2.2,5.9,8.1,0.6,0.8,2.2,1.4,2.4,9.9
21,21,Andres Feliz,Illinois,Big Ten,33,737,22.3,2.9,6.5,2.6,5.4,0.3,1.1,2.2,2.8,0.6,2.3,2.9,2.2,1,0,1.5,2.5,8.3
22,22,Luther Muhammad,Ohio State,Big Ten,34,906,26.6,2.4,6.5,1.4,3.7,1.1,2.8,1.6,2.2,0.5,2.2,2.7,1.7,0.9,0.1,1.4,2,7.6
23,23,Eugene Omoruyi,Rutgers,Big Ten,93,1906,20.5,2.9,6.5,2.7,5.8,0.2,0.7,1.8,2.9,1.8,2.9,4.7,1.4,0.7,0.4,1.6,2.2,7.7
24,24,Michael Finke,Illinois,Big Ten,93,2005,21.6,3,6.4,1.9,3.3,1.1,3.2,0.8,1.3,1.6,2.6,4.2,0.9,0.2,0.2,0.9,1.7,8
25,25,Max Bielfeldt,Indiana,Big Ten,35,612,17.5,3.2,6.3,2.4,4.4,0.8,1.8,0.9,1.3,1.7,2.8,4.5,0.7,0.8,0.5,1.1,2.1,8.2
26,26,D.J. Foreman,Rutgers,Big Ten,31,820,26.5,3,6.3,2.9,6.1,0.1,0.2,2.1,3.7,1.6,4.5,6.1,0.7,0.7,0.6,1.9,3,8.2
27,27,Kevin Dorsey,Minnesota,Big Ten,26,484,18.6,2.2,6.2,1.9,4.5,0.3,1.7,2.1,2.9,0.4,1.9,2.3,1.4,0.5,0.2,1.4,1.7,6.8
28,28,Nate Reuvers,Wisconsin,Big Ten,62,1245,20.1,2.6,6.2,1.9,4.1,0.7,2.1,0.7,1,1,2,3,0.9,0.3,1.4,1,2.4,6.7
