,Unnamed: 0,Player,Season,Team,League,Age,VORP,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
15,15,LeBron James,2004-05,CLE,NBA,20,8.8,80,80,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6.0,8.0,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,0.47200000000000003,0.499,0.35100000000000003,0.504,0.75,0.5539999999999999
16,16,Tracy McGrady,2002-03,ORL,NBA,23,8.7,75,74,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,0.457,0.48100000000000004,0.386,0.505,0.7929999999999999,0.564
17,17,Kevin Durant,2013-14,OKC,NBA,25,8.5,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,0.503,0.5489999999999999,0.391,0.56,0.873,0.635
18,18,Chris Paul,2007-08,NOH,NBA,22,8.5,80,80,37.6,7.9,16.1,6.7,13.0,1.2,3.1,4.2,4.9,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,0.488,0.516,0.369,0.524,0.851,0.5760000000000001
19,19,James Harden,2017-18,HOU,NBA,28,8.3,72,72,35.4,9.0,20.1,5.4,10.1,3.7,10.0,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,0.449,0.531,0.36700000000000005,0.541,0.858,0.619
20,20,Russell Westbrook,2015-16,OKC,NBA,27,8.3,80,80,34.4,8.2,18.1,6.9,13.8,1.3,4.3,5.8,7.2,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,0.45399999999999996,0.503,0.29600000000000004,0.489,0.812,0.5539999999999999
21,21,LeBron James,2010-11,MIA,NBA,26,8.2,79,79,38.8,9.6,18.8,8.4,15.3,1.2,3.5,6.4,8.4,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,0.51,0.552,0.33,0.541,0.759,0.594
22,22,Tim Duncan,2001-02,SAS,NBA,25,8.1,82,82,40.6,9.3,18.3,9.3,18.2,0.0,0.1,6.8,8.5,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,0.508,0.511,0.1,0.508,0.799,0.5760000000000001
23,23,LeBron James,2013-14,MIA,NBA,29,8.0,77,77,37.7,10.0,17.6,8.5,13.6,1.5,4.0,5.7,7.6,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,0.5670000000000001,0.622,0.379,0.61,0.75,0.649
24,24,Dwyane Wade,2009-10,MIA,NBA,28,8.0,77,77,36.3,9.3,19.6,8.4,16.5,0.9,3.2,6.9,9.1,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,0.47600000000000003,0.509,0.3,0.5,0.7609999999999999,0.562
25,25,Stephen Curry,2014-15,GSW,NBA,26,7.9,80,80,32.7,8.2,16.8,4.6,8.7,3.6,8.1,3.9,4.2,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,0.48700000000000004,0.528,0.44299999999999995,0.594,0.914,0.638
26,26,James Harden,2014-15,HOU,NBA,25,7.8,81,81,36.8,8.0,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,0.44,0.48,0.375,0.511,0.868,0.605
