Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
572,2015,NBA,2,31,MIN,Cedi Osman,20.083,F,mk,,2018,2019,137,22.7,9,3.5,1.7,0.6,0.1,0.437,0.506,0.351,0.736,2.4,0.036
446,2002,NBA,1,22,PHO,Casey Jacobsen,21.104,G-F,us,Stanford University,2003,2008,287,18.5,5.2,1.8,1.1,0.4,0.1,0.393,0.433,0.352,0.769,6.2,0.056
837,2013,NBA,2,33,CLE,Carrick Felix,22.32,G,us,Arizona State University,2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
80,2002,NBA,1,10,MIA,Caron Butler,22.11,F,us,University of Connecticut,2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.456,0.348,0.847,50.9,0.086
13,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse University,2004,2019,1064,35.8,24,6.5,3,1,0.5,0.449,0.473,0.347,0.811,101,0.127
222,2003,NBA,1,25,DET,Carlos Delfino,20.306,G,ar,,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,0.401,0.438,0.365,0.758,22.5,0.093
25,2002,NBA,2,35,CLE,Carlos Boozer,20.223,F-C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,0.521,0.522,0.071,0.722,80.3,0.143
145,2007,NBA,2,31,SEA,Carl Landry,23.288,F,us,Purdue University,2008,2016,513,22.5,10.8,4.9,0.7,0.4,0.4,0.535,0.537,0.3,0.785,35.9,0.149
459,2016,NBA,1,20,IND,Caris LeVert,21.308,G-F,us,University of Michigan,2017,2019,168,24.8,11.1,3.6,3.4,1,0.3,0.437,0.499,0.329,0.707,5.8,0.066
578,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016,2019,153,16,6,1.8,2.5,0.7,0.2,0.397,0.443,0.331,0.775,2.2,0.044
879,2014,NBA,2,49,CHI,Cameron Bairstow,23.207,F-C,au,University of New Mexico,2015,2016,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,-0.021
916,2017,NBA,1,26,POR,Caleb Swanigan,20.07,F,us,Purdue University,2018,2019,48,7.6,2.2,2.5,0.5,0.2,0.1,0.372,0.408,0.133,0.667,-0.2,-0.031
1105,2015,NBA,2,55,SAS,Cady Lalanne,23.069,C,ht,University of Massachusetts Amherst,,,,,,,,,,,,,,,
786,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,us,University of Washington,2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
163,2005,NBA,2,34,UTA,C.J. Miles,18.107,G-F,us,,2006,2019,838,20.4,9.6,2.4,1.1,0.7,0.3,0.412,0.464,0.359,0.81,30,0.084
684,2009,NBA,1,24,DAL,Byron Mullens,20.136,C,us,Ohio State University,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
389,2016,NBA,1,6,NOP,Buddy Hield,23.194,G,bs,University of Oklahoma,2017,2019,244,26.8,14.9,4,2,0.7,0.3,0.446,0.471,0.419,0.874,10,0.073
982,2001,NBA,2,58,SAS,Bryan Bracey,,,,University of Oregon,,,,,,,,,,,,,,,
637,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2019,69,14.7,4.9,2.8,0.9,0.3,0.6,0.392,0.451,0.344,0.839,1.1,0.054
614,2018,NBA,2,42,DET,Bruce Brown,21.315,G,us,University of Miami,2019,2019,74,19.6,4.3,2.5,1.2,0.5,0.5,0.398,0.457,0.258,0.75,1.5,0.048
53,2008,NBA,1,10,NJN,Brook Lopez,20.091,C,us,Stanford University,2009,2019,717,30.9,17.3,6.5,1.5,0.6,1.7,0.498,0.521,0.347,0.791,60.1,0.13
789,2016,NBA,1,25,LAC,Brice Johnson,22.002,F,us,University of North Carolina,2017,2018,21,5.1,2.2,1.6,0.1,0.5,0.3,0.449,0.458,0,0.6,0.1,0.062
425,2001,NBA,2,35,NJN,Brian Scalabrine,23.107,F,us,University of Southern California,2002,2012,520,13,3.1,2,0.8,0.3,0.2,0.39,0.415,0.344,0.783,7.6,0.054
385,2003,NBA,1,24,LAL,Brian Cook,22.209,F,us,University of Illinois at Urbana-Champaign,2004,2012,421,13.4,5.5,2.6,0.6,0.3,0.3,0.439,0.467,0.382,0.783,10.2,0.086
303,2000,NBA,2,44,DET,Brian Cardinal,23.063,F,us,Purdue University,2001,2012,456,14.2,4.6,2.3,1,0.6,0.2,0.408,0.432,0.372,0.861,15.4,0.114
108,2001,NBA,1,20,CLE,Brendan Haywood,21.218,C,us,University of North Carolina,2002,2015,816,22.9,6.8,6,0.5,0.4,1.4,0.528,0.528,0,0.587,43.8,0.113
362,2008,NBA,1,13,POR,Brandon Rush,22.36,G-F,us,University of Kansas,2009,2017,481,22,6.8,2.9,1,0.5,0.5,0.426,0.447,0.402,0.706,11.2,0.051
138,2006,NBA,1,6,MIN,Brandon Roy,21.345,G,us,University of Washington,2007,2013,326,35.5,18.8,4.3,4.7,1,0.2,0.459,0.485,0.348,0.8,37.4,0.155
359,2011,NBA,1,8,DET,Brandon Knight,19.208,G,us,University of Kentucky,2012,2019,421,30.1,14.5,3.2,4,0.9,0.2,0.413,0.445,0.354,0.812,11.6,0.044
166,2009,NBA,1,10,MIL,Brandon Jennings,19.28,G,us,,2010,2018,555,30.3,14.1,3,5.7,1.2,0.2,0.387,0.412,0.345,0.796,29.9,0.085
501,2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2019,190,31.7,13.9,4.7,2.9,0.6,0.6,0.458,0.485,0.329,0.662,4.5,0.036
678,2003,NBA,2,56,BOS,Brandon Hunter,22.219,F,us,Ohio University,2004,2005,67,9.4,3.3,2.8,0.3,0.3,0.1,0.476,0.484,0,0.488,0.7,0.055
112,2005,NBA,2,33,NOH,Brandon Bass,20.064,F,us,Louisiana State University,2006,2017,758,21.6,8.7,4.5,0.8,0.4,0.6,0.499,0.502,0.207,0.832,42.8,0.125
938,2001,NBA,1,23,HOU,Brandon Armstrong,21.016,G,us,Pepperdine University,2002,2004,108,6.5,2.2,0.6,0.2,0.2,0,0.352,0.358,0.333,0.6,-0.6,-0.039
841,2015,NBA,2,56,NOP,Branden Dawson,22.149,F,us,Michigan State University,2016,2016,6,4.8,0.8,0.7,0,0,0.2,0.4,0.4,,1,0,0.069
190,2007,NBA,1,8,CHA,Brandan Wright,19.271,F-C,us,University of North Carolina,2008,2018,428,16.2,7,3.6,0.5,0.5,1,0.607,0.61,0,0.674,26.2,0.181
143,2012,NBA,1,3,WAS,Bradley Beal,19.005,G,us,University of Florida,2013,2019,488,34.4,19.8,3.9,3.7,1.1,0.4,0.452,0.488,0.384,0.798,36.4,0.104
1035,2007,NBA,2,54,HOU,Brad Newley,22.135,F-G,au,,,,,,,,,,,,,,,,
695,2005,NBA,2,47,MIN,Bracey Wright,21.002,G,us,Indiana University,2006,2007,26,12.5,5,1.5,0.8,0.4,0,0.405,0.446,0.324,0.794,0.5,0.068
407,2002,NBA,1,15,HOU,Bostjan Nachbar,21.363,F,si,,2003,2008,317,17.8,7.1,2.6,0.9,0.4,0.3,0.406,0.433,0.375,0.784,8.7,0.074
75,2003,NBA,1,21,ATL,Boris Diaw,21.076,F-C,fr,,2004,2017,1064,27,8.6,4.4,3.5,0.6,0.5,0.493,0.529,0.336,0.717,51.6,0.086
1085,2013,NBA,2,59,MIN,Bojan Dubljevic,21.252,F-C,me,,,,,,,,,,,,,,,,
268,2011,NBA,2,31,MIA,Bojan Bogdanovic,22.071,G-F,ba,,2015,2019,399,27.8,13.3,3.4,1.4,0.6,0.1,0.463,0.52,0.389,0.846,18.4,0.08
463,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,2018,2019,148,27.9,12.9,3.1,3.5,1,0.2,0.431,0.473,0.375,0.833,5.6,0.065
